Operation Title,Operation Method,Operation Path,Tag,Kind,Deprecated,file,,
Export offline API documentation by selected versions,GET,/api/v2/packages/*/versions/*/doc,Export,BWC,TRUE,APIHUB_API.yaml,,
Get version documents,GET,/api/v2/packages/*/versions/*/documents,Documents Versions,BWC,FALSE,APIHUB_API.yaml,,
Export offline API documentation by selected file,GET,/api/v2/packages/*/versions/*/files/*/doc,Export,BWC,TRUE,APIHUB_API.yaml,,
Get file data (published),GET,/api/v2/packages/*/versions/*/files/*/raw,Versions,BWC,FALSE,APIHUB_API.yaml,,
Update package version,PATCH,/api/v2/packages/*/versions/*,Versions Admin,BWC,FALSE,APIHUB_API.yaml,,
Export sources of package version with build config,GET,/api/v2/packages/*/versions/*/sourceData,Export Versions,BWC,FALSE,APIHUB_API.yaml,,
Export sources of package version,GET,/api/v2/packages/*/versions/*/sources,Export Versions,BWC,FALSE,APIHUB_API.yaml,,
Create a new package,POST,/api/v2/packages,Packages Admin,BWC,FALSE,APIHUB_API.yaml,,
Get list of permissions,GET,/api/v2/permissions,Roles,BWC,FALSE,APIHUB_API.yaml,,
Update the roles order,POST,/api/v2/roles/changeOrder,Roles,BWC,FALSE,Admin API.yaml,,
Get list of existing roles,GET,/api/v2/roles,Roles,BWC,FALSE,APIHUB_API.yaml,,
Create a new role,POST,/api/v2/roles,Roles,BWC,FALSE,Admin API.yaml,,
Delete role,DELETE,/api/v2/roles/*,Roles,BWC,FALSE,Admin API.yaml,,
Update role,PATCH,/api/v2/roles/*,Roles,BWC,FALSE,Admin API.yaml,,
Share a published file,POST,/api/v2/sharedFiles,Versions,BWC,FALSE,APIHUB_API.yaml,,
Get shared file data,GET,/api/v2/sharedFiles/*,Versions,BWC,FALSE,APIHUB_API.yaml,,
Get user's private workspace,GET,/api/v2/space,Users,BWC,FALSE,APIHUB_API.yaml,,
Create own personal private package,POST,/api/v2/space,Users,BWC,FALSE,APIHUB_API.yaml,,
System configuration,GET,/api/v2/system/configuration,Auth,BWC,FALSE,APIHUB_API.yaml,,
Get Extended User Information,GET,/api/v2/user,Users,BWC,FALSE,APIHUB_API.yaml,,
Get users list,GET,/api/v2/users,Users,BWC,FALSE,APIHUB_API.yaml,,
Get user by id,GET,/api/v2/users/*,Users,BWC,FALSE,APIHUB_API.yaml,,
Create personal private package for the user,POST,/api/v2/users/*/space,Users,BWC,FALSE,APIHUB_API.yaml,,
Get package versions list,GET,/api/v3/packages/*/versions,Versions,BWC,FALSE,APIHUB_API.yaml,,
Async document transformation,POST,/api/v3/packages/*/versions/*/*/build/groups/*/buildType/*,Versions Operation groups,BWC,TRUE,APIHUB_API.yaml,,
Export API changes to xlsx file,GET,/api/v3/packages/*/versions/*/*/export/changes,Changes,BWC,FALSE,APIHUB_API.yaml,,
Export operations group as OpenAPI documents,GET,/api/v3/packages/*/versions/*/*/export/groups/*/buildType/*,Export Operation groups,BWC,TRUE,APIHUB_API.yaml,,
Get documents of operations from operation group.,GET,/api/v3/packages/*/versions/*/*/groups/*/documents,Documents Versions,BWC,FALSE,APIHUB_API.yaml,,
Update parameters of operation group,PATCH,/api/v3/packages/*/versions/*/*/groups/*,Versions Operation groups,BWC,FALSE,APIHUB_API.yaml,,
Start operation group publication,POST,/api/v3/packages/*/versions/*/*/groups/*/publish,Operation groups Publish,BWC,FALSE,APIHUB_API.yaml,,
Get operation group publication status,GET,/api/v3/packages/*/versions/*/*/groups/*/publish/*/status,Operation groups Publish,BWC,FALSE,APIHUB_API.yaml,,
Create manual operation group,POST,/api/v3/packages/*/versions/*/*/groups,Versions Operation groups,BWC,FALSE,APIHUB_API.yaml,,
Get document details,GET,/api/v3/packages/*/versions/*/documents/*,Documents,BWC,FALSE,APIHUB_API.yaml,,
Get package version content,GET,/api/v3/packages/*/versions/*,Versions,BWC,FALSE,APIHUB_API.yaml,,
Get version references,GET,/api/v3/packages/*/versions/*/references,Documents Versions,BWC,FALSE,APIHUB_API.yaml,,
Get the version revisions list,GET,/api/v3/packages/*/versions/*/revisions,Versions,BWC,FALSE,APIHUB_API.yaml,,
Get activity history,GET,/api/v4/activity,Packages,BWC,FALSE,APIHUB_API.yaml,,
Get activity history for the package,GET,/api/v4/packages/*/activity,Packages,BWC,FALSE,APIHUB_API.yaml,,
Package API Keys list retrieve,GET,/api/v4/packages/*/apiKeys,Admin,BWC,FALSE,APIHUB_API.yaml,,
